filename,xmin,xmax,ymin,ymax,sign_id,sign_class
autosave09_10_2012_13_19_30_0.jpg,840,868,324,353,3,stop_is_forbidden
autosave10_10_2012_09_27_51_3.jpg,585,612,394,419,1,main_road
autosave23_10_2012_12_06_11_2.jpg,789,837,336,371,4,give_a_way
autosave09_10_2012_10_13_29_3.jpg,1108,1149,195,254,5,bus_stop
autosave24_10_2012_11_01_24_2.jpg,944,964,267,289,3,stop_is_forbidden
autosave02_10_2012_12_08_35_2.jpg,1206,1234,243,282,5,bus_stop
autosave24_10_2013_13_13_24_0.jpg,733,764,337,368,3,stop_is_forbidden
autosave24_10_2013_11_05_51_1.jpg,726,761,321,355,3,stop_is_forbidden
autosave24_10_2012_10_44_44_2.jpg,866,882,301,320,5,bus_stop
autosave24_10_2012_10_59_56_0.jpg,1057,1079,235,268,5,bus_stop
autosave10_10_2012_09_00_10_1.jpg,786,817,319,349,3,stop_is_forbidden
autosave10_10_2012_09_23_38_0.jpg,1010,1048,332,366,4,give_a_way
autosave01_02_2012_13_15_23.jpg,975,997,381,406,3,stop_is_forbidden
autosave10_10_2012_14_35_12_0.jpg,925,983,334,392,1,main_road
autosave23_10_2012_12_01_12_0.jpg,302,326,316,346,5,bus_stop
autosave16_04_2013_13_08_15_1.jpg,1118,1199,449,529,3,stop_is_forbidden
autosave10_10_2012_07_41_02_2.jpg,735,761,359,385,4,give_a_way
autosave10_10_2012_13_21_28_0.jpg,691,711,417,437,1,main_road
autosave21_01_2013_10_29_36_2.jpg,1154,1228,270,333,4,give_a_way
autosave01_02_2012_10_04_52.jpg,1005,1057,305,357,4,give_a_way
autosave16_04_2013_11_59_39_2.jpg,984,1000,563,579,2,crosswalk
autosave16_10_2012_08_09_29_1.jpg,1078,1185,210,295,4,give_a_way
autosave09_10_2012_12_26_15_2.jpg,740,770,304,333,2,crosswalk
autosave16_10_2012_08_15_42_2.jpg,397,420,289,313,3,stop_is_forbidden
autosave23_10_2012_09_03_00_1.jpg,928,948,339,357,1,main_road
autosave01_02_2012_11_50_58.jpg,895,922,280,319,5,bus_stop
autosave23_10_2012_10_34_46_2.jpg,757,784,357,384,3,stop_is_forbidden
autosave10_10_2012_10_44_41_2.jpg,847,939,205,317,4,give_a_way
autosave10_10_2012_12_55_54_0.jpg,800,869,251,328,1,main_road
autosave10_10_2012_12_19_13_0.jpg,903,939,371,408,1,main_road
autosave24_10_2012_10_43_33_5.jpg,323,348,272,296,2,crosswalk
autosave24_10_2013_11_20_55_1.jpg,747,786,286,325,1,main_road
autosave16_10_2012_11_02_22_5.jpg,996,1031,313,345,3,stop_is_forbidden
autosave10_10_2012_10_17_29_1.jpg,865,886,374,403,5,bus_stop
